order_id,request_time,origin_warehouse,destination_region,distance_km,estimated_time_min,priority_level
ORD0076,2023-01-05 03:00:00,인천_송도물류,중구,65.8,85.0,2
ORD0077,2023-01-05 04:00:00,경기_판교물류,서구,62.4,82.0,3
ORD0078,2023-01-05 05:00:00,경기_판교물류,서구,58.5,78.0,1
ORD0079,2023-01-05 06:00:00,경기_광명물류,강남구,42.6,65.0,3
ORD0080,2023-01-05 07:00:00,경기_판교물류,서구,68.5,95.0,2
ORD0081,2023-01-05 08:00:00,경기_광명물류,부평구,52.8,85.0,1
ORD0082,2023-01-05 09:00:00,경기_판교물류,송파구,16.5,35.0,2
ORD0083,2023-01-05 10:00:00,서울_강남물류,중구,25.4,45.0,2
ORD0084,2023-01-05 11:00:00,경기_판교물류,서구,68.5,92.0,3
ORD0085,2023-01-05 12:00:00,경기_광명물류,강남구,42.6,65.0,3
ORD0086,2023-01-05 13:00:00,경기_광명물류,부평구,48.5,72.0,3
ORD0087,2023-01-05 14:00:00,인천_송도물류,해운대구,472.4,345.0,2
ORD0088,2023-01-05 15:00:00,서울_강남물류,송파구,16.8,32.0,1
ORD0089,2023-01-05 16:00:00,경기_판교물류,송파구,15.6,35.0,3
ORD0090,2023-01-05 17:00:00,인천_송도물류,중구,72.5,95.0,3
ORD0091,2023-01-05 18:00:00,경기_판교물류,송파구,18.4,42.0,3
ORD0092,2023-01-05 19:00:00,경기_판교물류,서구,75.6,105.0,2
ORD0093,2023-01-05 20:00:00,인천_송도물류,강남구,82.4,115.0,2
ORD0094,2023-01-05 21:00:00,인천_송도물류,송파구,78.5,98.0,3
ORD0095,2023-01-05 22:00:00,인천_송도물류,송파구,65.8,85.0,2
ORD0096,2023-01-05 23:00:00,인천_송도물류,해운대구,455.6,325.0,3
ORD0097,2023-01-06 00:00:00,인천_송도물류,해운대구,462.5,335.0,3
ORD0098,2023-01-06 01:00:00,경기_판교물류,남구,28.6,42.0,2
ORD0099,2023-01-06 02:00:00,인천_송도물류,부평구,25.4,38.0,3
ORD0100,2023-01-06 03:00:00,서울_강남물류,서구,58.5,75.0,3

# 퇴근 시간대 (18-20시): 극심한 정체
ORD0031,2023-01-02 18:00:00,서울_강남물류,남구,48.5,105.0,2  # 실제 20km 구간
ORD0032,2023-01-02 19:00:00,서울_강남물류,부평구,95.8,165.0,3  # 실제 40km 구간
ORD0033,2023-01-02 20:00:00,경기_판교물류,강남구,42.5,92.0,1  # 실제 18km 구간

# 야간 시간대 (21-23시): 점차 소통 원활
ORD0073,2023-01-04 21:00:00,서울_강남물류,서구,68.4,95.0,1  # 실제 58km 구간
ORD0074,2023-01-04 22:00:00,인천_송도물류,남구,78.5,108.0,2  # 실제 65km 구간
ORD0075,2023-01-04 23:00:00,서울_강남물류,수성구,395.6,315.0,1  # 실제 350km 구간

# 심야 시간대 (0-5시): 매우 원활
ORD0076,2023-01-05 00:00:00,인천_송도물류,중구,75.8,95.0,2  # 실제 65km 구간
ORD0077,2023-01-05 01:00:00,경기_판교물류,서구,72.4,92.0,3  # 실제 62km 구간
ORD0078,2023-01-05 02:00:00,경기_판교물류,서구,68.5,88.0,1  # 실제 58km 구간
ORD0079,2023-01-05 03:00:00,경기_광명물류,강남구,52.6,75.0,3  # 실제 45km 구간
ORD0080,2023-01-05 04:00:00,경기_판교물류,서구,78.5,105.0,2  # 실제 68km 구간

# 출근 시간대 (7-9시): 극심한 정체
ORD0081,2023-01-05 07:00:00,경기_광명물류,부평구,92.8,165.0,1  # 실제 38km 구간
ORD0082,2023-01-05 08:00:00,경기_판교물류,송파구,36.5,85.0,2  # 실제 15km 구간
ORD0083,2023-01-05 09:00:00,서울_강남물류,중구,55.4,115.0,2  # 실제 22km 구간

# 주간 시간대 (10-16시): 보통 정체
ORD0084,2023-01-05 10:00:00,경기_판교물류,서구,88.5,122.0,3  # 실제 55km 구간
ORD0085,2023-01-05 11:00:00,경기_광명물류,강남구,62.6,95.0,3  # 실제 38km 구간
ORD0086,2023-01-05 12:00:00,경기_광명물류,부평구,68.5,102.0,3  # 실제 42km 구간
ORD0087,2023-01-05 13:00:00,인천_송도물류,해운대구,492.4,385.0,2  # 실제 385km 구간

# 퇴근 시간대 (17-20시): 극심한 정체
ORD0088,2023-01-05 17:00:00,서울_강남물류,송파구,36.8,82.0,1  # 실제 15km 구간
ORD0089,2023-01-05 18:00:00,경기_판교물류,송파구,35.6,85.0,3  # 실제 14km 구간
ORD0090,2023-01-05 19:00:00,인천_송도물류,중구,102.5,175.0,3  # 실제 42km 구간

# 야간 시간대 (21-23시): 점차 소통 원활
ORD0091,2023-01-05 21:00:00,경기_판교물류,송파구,28.4,42.0,3  # 실제 22km 구간
ORD0092,2023-01-05 22:00:00,경기_판교물류,서구,85.6,115.0,2  # 실제 70km 구간
ORD0093,2023-01-05 23:00:00,인천_송도물류,강남구,92.4,125.0,2  # 실제 75km 구간

# 심야 시간대 (0-5시): 매우 원활
ORD0094,2023-01-06 00:00:00,인천_송도물류,송파구,88.5,108.0,3  # 실제 75km 구간
ORD0095,2023-01-06 01:00:00,인천_송도물류,송파구,75.8,95.0,2  # 실제 65km 구간
ORD0096,2023-01-06 02:00:00,인천_송도물류,해운대구,475.6,345.0,3  # 실제 420km 구간
ORD0097,2023-01-06 03:00:00,인천_송도물류,해운대구,482.5,355.0,3  # 실제 425km 구간
ORD0098,2023-01-06 04:00:00,경기_판교물류,남구,38.6,52.0,2  # 실제 32km 구간
ORD0099,2023-01-06 05:00:00,인천_송도물류,부평구,35.4,48.0,3  # 실제 28km 구간
ORD0100,2023-01-06 06:00:00,서울_강남물류,서구,68.5,85.0,3  # 실제 55km 구간
